Technique,CleanMeanAPFDc,MeanAPFDc_5,MeanAPFDc_15,MeanAPFDc_30,MeanAPFDc_50,MeanDegradationPctAPFDc_5,MeanDegradationPctAPFDc_15,MeanDegradationPctAPFDc_30,MeanDegradationPctAPFDc_50,MeanRetentionPctAPFDc_50,BonferroniSignificantNoiseLevels,FirstBonferroniSignificantNoisePercent,BonferroniSignificantTests,MostNegativePairedRankBiserial,LeastNegativeOrMostPositivePairedRankBiserial
RandomForest,0.80323860492403343,0.67428121900879223,0.5911901936404127,0.52142458625763954,0.4430234744876021,15.710129410718976,24.848051205503506,33.051304894510011,42.255380236632163,57.744619763367837,"[5,10,15,20,25,30,40,50]",5,8,-1,-0.93999999999999995
XGBoost,0.78421672249133312,0.68453858075862717,0.60906713012400115,0.52812867735314095,0.42675195619370981,12.366410626939796,21.358263654220082,31.075529890821105,43.01281525154959,56.987184748450403,"[5,10,15,20,25,30,40,50]",5,8,-1,-0.89333333333333331
LightGBM,0.76205984422883655,0.68016006843081678,0.6277217301690291,0.547930014181926,0.4324762206383535,9.5593319709498008,16.256328722782985,25.732400196707601,39.608001036390803,60.391998963609197,"[5,10,15,20,25,30,40,50]",5,8,-1,-0.69333333333333325
NaiveBayes,0.61760336857343245,0.57338104933765421,0.54401519515392316,0.53771791302919747,0.4920519147301996,3.9274765710728334,7.323692691911809,7.3696328048796369,12.761964415181424,87.238035584818576,[50],50,1,-0.68666666666666665,-0.44
