NoisePercent,BestAbsoluteAPFDcTechnique,BestAbsoluteAPFDc,BestAbsoluteTieCount,BestAverageRankTechnique,BestAverageRank,BestAverageRankTieCount,FriedmanHolmSignificant,FriedmanHolmAdjustedPValue,KendallsW
0,RandomForest,0.80323860492403332,1,RandomForest,1.7083333333333333,1,True,9.00759418571464e-05,0.35972222222222272
5,XGBoost,0.68453858075862717,1,XGBoost,2.1666666666666665,1,True,0.0084515573940838994,0.22430555555555601
10,LightGBM,0.64704324960536996,1,XGBoost,2.208333333333333,1,False,0.29529383770162848,0.10694444444444499
15,LightGBM,0.6277217301690291,1,LightGBM,1.9583333333333333,1,False,0.29529383770162848,0.1090277777777781
20,LightGBM,0.59875186724198803,1,LightGBM,2,1,False,0.29529383770162848,0.1062500000000004
25,LightGBM,0.57268970698511723,1,LightGBM,2.125,1,False,0.83067005832558993,0.039583333333333602
30,LightGBM,0.547930014181926,1,LightGBM,2.083333333333333,1,False,0.29529383770162848,0.092361111111111505
40,NaiveBayes,0.52399602163780001,1,NaiveBayes,2.208333333333333,1,False,0.83067005832558993,0.028472222222222301
50,NaiveBayes,0.4920519147301996,1,NaiveBayes,1.6666666666666667,1,True,0.012420906431236001,0.2090277777777779
