MetricRole,Metric,NoisePercent,Technique,Projects,AverageRank,CrossProjectMean,CrossProjectMedian,CrossProjectSD
SECONDARY,APFD,20,NaiveBayes,24,1.7916666666666667,0.71593554764442791,0.69241222614768039,0.10008024500743541
SECONDARY,APFD,25,RandomForest,24,3.1666666666666665,0.57837815697160166,0.5676577110956289,0.12858456365066476
SECONDARY,APFD,25,XGBoost,24,2.875,0.6080003514737311,0.60467966098107118,0.12368182791452564
SECONDARY,APFD,25,LightGBM,24,2.25,0.63035299976462345,0.64062241659915875,0.12637041218762049
SECONDARY,APFD,25,NaiveBayes,24,1.7083333333333333,0.69391744985432469,0.67855092026244956,0.10648263030399223
SECONDARY,APFD,30,RandomForest,24,3.5,0.54933699387589152,0.54972397045008492,0.11601588784612134
SECONDARY,APFD,30,XGBoost,24,2.5416666666666665,0.58390861988987841,0.57687315254380223,0.10683776270145517
SECONDARY,APFD,30,LightGBM,24,2.4166666666666665,0.59894417997500005,0.59917784784821904,0.12578212492115107
SECONDARY,APFD,30,NaiveBayes,24,1.5416666666666667,0.66881045241752302,0.66951090549064962,0.093270005982233756
SECONDARY,APFD,40,RandomForest,24,3.625,0.49197708479583496,0.50243435683542936,0.087547449111931686
SECONDARY,APFD,40,XGBoost,24,2.5833333333333335,0.52973011461096686,0.54366580901089234,0.10243699927821827
SECONDARY,APFD,40,LightGBM,24,2.3333333333333335,0.54278425678180897,0.55380838734707249,0.10400181784482529
SECONDARY,APFD,40,NaiveBayes,24,1.4583333333333333,0.6061671974914189,0.59619063762411395,0.07857223921386812
SECONDARY,APFD,50,RandomForest,24,3.125,0.43285212212278018,0.44059463669995536,0.074810819075441209
SECONDARY,APFD,50,XGBoost,24,2.4583333333333335,0.4555256495222742,0.47174524396392331,0.098225201108484331
SECONDARY,APFD,50,LightGBM,24,2.4166666666666665,0.45662102552531164,0.4657024178259539,0.080367928259459154
SECONDARY,APFD,50,NaiveBayes,24,2,0.4893906993542661,0.48303729056867289,0.065938653290470745
