MetricRole,Metric,NoisePercent,TechniqueA,TechniqueB,AverageRankA,AverageRankB,RankDifferenceAbs,CrossProjectMeanA,CrossProjectMeanB,MeanDifferenceAminusB,BetterByAverageRank,NemenyiSE,QDemšar,QStudentizedRange,NemenyiPValue,NemenyiAlpha,CriticalDifference,SignificantNemenyi
SECONDARY,APFD,40,RandomForest,NaiveBayes,3.625,1.4583333333333333,2.166666666666667,0.49197708479583496,0.6061671974914189,-0.11419011269558393,NaiveBayes,0.37267799624996495,5.8137767414994537,8.2219219164377879,3.6604655084815363e-08,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,40,XGBoost,LightGBM,2.5833333333333335,2.3333333333333335,0.25,0.52973011461096686,0.54278425678180897,-0.013054142170842109,LightGBM,0.37267799624996495,0.67082039324993692,0.94868329805051388,0.90813177390141742,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,40,XGBoost,NaiveBayes,2.5833333333333335,1.4583333333333333,1.1250000000000002,0.52973011461096686,0.6061671974914189,-0.076437082880452034,NaiveBayes,0.37267799624996495,3.0186917696247169,4.2690748412273134,0.013538661292491594,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,40,LightGBM,NaiveBayes,2.3333333333333335,1.4583333333333333,0.87500000000000022,0.54278425678180897,0.6061671974914189,-0.063382940709609925,NaiveBayes,0.37267799624996495,2.3478713763747798,3.3203915431767994,0.087466386065590207,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,50,RandomForest,XGBoost,3.125,2.4583333333333335,0.66666666666666652,0.43285212212278018,0.4555256495222742,-0.02267352739949402,XGBoost,0.37267799624996495,1.7888543819998313,2.5298221281347031,0.27863887539513721,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,50,RandomForest,LightGBM,3.125,2.4166666666666665,0.70833333333333348,0.43285212212278018,0.45662102552531164,-0.023768903402531461,LightGBM,0.37267799624996495,1.9006577808748217,2.6879360111431234,0.22769676258145188,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,50,RandomForest,NaiveBayes,3.125,2,1.125,0.43285212212278018,0.4893906993542661,-0.05653857723148592,NaiveBayes,0.37267799624996495,3.018691769624716,4.2690748412273125,0.013538661292491705,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,50,XGBoost,LightGBM,2.4583333333333335,2.4166666666666665,0.041666666666666963,0.4555256495222742,0.45662102552531164,-0.0010953760030374404,LightGBM,0.37267799624996495,0.11180339887499027,0.15811388300842008,0.99950038499201754,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,50,XGBoost,NaiveBayes,2.4583333333333335,2,0.45833333333333348,0.4555256495222742,0.4893906993542661,-0.0338650498319919,NaiveBayes,0.37267799624996495,1.2298373876248847,1.7392527130926092,0.60780870809276544,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,50,LightGBM,NaiveBayes,2.4166666666666665,2,0.41666666666666652,0.45662102552531164,0.4893906993542661,-0.03276967382895446,NaiveBayes,0.37267799624996495,1.1180339887498945,1.5811388300841893,0.67838768641803959,0.050000000000000003,0.95742161329511866,False
