Technique,PrimaryRobustnessWinner,CleanMeanAPFDc,APFDcAt30,APFDcAt40,APFDcAt50,MeanStressAPFDc_30_40_50,AverageRankAt30,AverageRankAt40,AverageRankAt50,MeanStressAverageRank_30_40_50,MeanDegradationPctAPFDcAt30,MeanDegradationPctAPFDcAt40,MeanDegradationPctAPFDcAt50,MeanStressDegradationPctAPFDc_30_40_50,MeanRetentionPctAPFDcAt30,MeanRetentionPctAPFDcAt40,MeanRetentionPctAPFDcAt50,MeanStressRetentionPctAPFDc_30_40_50,SecondaryMeanStressAPFD_30_40_50,SecondaryMeanStressAverageRank_30_40_50
RandomForest,False,0.80323860492403332,0.52142458625763954,0.47938883335048588,0.44302347448760188,0.48127896469857578,2.875,2.6666666666666665,2.5,2.6805555555555554,33.051304894510011,38.036765977299247,42.255380236632163,37.781150369480478,66.948695105489989,61.96323402270076,57.744619763367837,62.218849630519536,0.49138873359816881,3.4166666666666665
XGBoost,False,0.78421672249133312,0.52812867735314095,0.48726641297314288,0.42675195619370981,0.48071568217333122,2.25,2.6666666666666665,2.958333333333333,2.6249999999999996,31.075529890821105,35.851994952426992,43.01281525154959,36.646780031599228,68.924470109178898,64.148005047573008,56.987184748450403,63.353219968400772,0.52305479467437321,2.5277777777777781
LightGBM,False,0.76205984422883655,0.547930014181926,0.49836878505429211,0.4324762206383535,0.49292500662485716,2.083333333333333,2.458333333333333,2.875,2.4722222222222219,25.732400196707601,31.739500805122159,39.608001036390803,32.359967346073525,74.267599803292399,68.260499194877838,60.391998963609197,67.640032653926482,0.5327831540940402,2.3888888888888888
NaiveBayes,True,0.61760336857343245,0.53771791302919758,0.52399602163780001,0.4920519147301996,0.51792194979906581,2.7916666666666665,2.208333333333333,1.6666666666666667,2.2222222222222223,7.3696328048796369,8.0230511809524163,12.761964415181424,9.3848828003378255,92.630367195120357,91.97694881904755,87.238035584818576,90.615117199662166,0.58812278308773602,1.6666666666666667
