ProjectSlug,NoisePercent,RepetitionSeed,MeanAPFD,MeanAPFDc,SourceType
EMResearch__EvoMaster,5,26,0.91305177638327,0.7427570647462134,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,27,0.8907282192490694,0.7287115638013713,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,28,0.8787008017252499,0.721353638777998,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,29,0.8940064249299754,0.7363161721001029,ORIGINAL_AFFECTED
EMResearch__EvoMaster,5,30,0.8804049272015292,0.7205527116309717,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,1,0.8849221353662834,0.725110765262079,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,2,0.8623830348977034,0.718900238781912,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,3,0.8828308005318781,0.7211182871562347,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,4,0.9047416982837664,0.7339724879391742,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,5,0.8934626789875934,0.744762860783202,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,6,0.8925852225478549,0.7249361878118018,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,7,0.8906131705343979,0.7259819967491403,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,8,0.9180924148508866,0.748179481361697,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,9,0.8871325545838816,0.7074884198222366,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,10,0.8904249292885181,0.7082783969826753,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,11,0.8972661375945609,0.7359704420477409,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,12,0.8811886709017982,0.7221521468235996,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,13,0.8854104250732968,0.7053677746621583,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,14,0.9006147744677496,0.7368964213931805,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,15,0.8966737139228288,0.7325726770499692,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,16,0.8896693403835408,0.7045618849372605,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,17,0.8655154447681771,0.718240083071928,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,18,0.8889656174317002,0.7104236647374346,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,19,0.9090345885188266,0.7440281488388597,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,20,0.8572279886339096,0.702065175815393,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,21,0.880379282141973,0.7229194847801217,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,22,0.8938208500748122,0.7386630514102016,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,23,0.8666933072053951,0.7143266960545479,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,24,0.8875428885296119,0.7150916484579336,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,25,0.8650474359192823,0.7211642251018195,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,26,0.8970010225972034,0.7362572904103855,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,27,0.9004310277495298,0.731494645769252,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,28,0.8794788088437286,0.7129740139405849,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,29,0.8936281476539427,0.7302180866818725,ORIGINAL_AFFECTED
EMResearch__EvoMaster,10,30,0.8741354088575507,0.7141880841667438,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,1,0.8855575683178886,0.7333314998502665,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,2,0.8776613884160971,0.7310346203422037,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,3,0.8918857123909062,0.7310215668059031,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,4,0.9015674979772742,0.721411548275285,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,5,0.881156254027815,0.7403497649450821,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,6,0.8991729227618742,0.7259006899189695,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,7,0.8764148788404369,0.7198375258770467,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,8,0.9054686735954522,0.7470096624632265,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,9,0.8793293459206171,0.7017613742782154,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,10,0.8826306153721455,0.7004984586271346,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,11,0.9052389974844574,0.7207207553250505,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,12,0.877324027341598,0.727229323522735,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,13,0.8722423825085838,0.6930212737272361,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,14,0.8958732526461712,0.7433363925857701,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,15,0.8989187381266127,0.723250516866225,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,16,0.8794296169455325,0.6954701800209661,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,17,0.8544113771671197,0.7063630553438539,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,18,0.8900225754940263,0.7114239346253058,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,19,0.9119902043555934,0.7353215758010736,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,20,0.8548785854836263,0.7006675978089889,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,21,0.8823768080145111,0.7247720481706571,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,22,0.8977653897171899,0.7348000195699991,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,23,0.8524785106453556,0.7039491530223843,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,24,0.8966625284956459,0.7078421058439719,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,25,0.8727248527803122,0.7169682473464712,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,26,0.8899189357350876,0.7337128836816501,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,27,0.8953261743025418,0.727315818825444,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,28,0.9020683461819736,0.7329616079629528,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,29,0.8986539319397476,0.737614823186393,ORIGINAL_AFFECTED
EMResearch__EvoMaster,15,30,0.8765231511582336,0.7060989894990327,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,1,0.8845279251590233,0.7365635563883712,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,2,0.870089650880548,0.7210281759330166,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,3,0.9127238577596368,0.7441742151662366,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,4,0.8950665907241082,0.7128030414211333,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,5,0.8730483761565525,0.7373416028366853,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,6,0.8887883294955401,0.7256593661399858,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,7,0.8814272337756704,0.7148562340186011,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,8,0.902637848140054,0.7396773663424558,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,9,0.8733057891742606,0.7041006430476787,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,10,0.8817466842111611,0.6992515557701658,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,11,0.899486796290537,0.7176943959798184,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,12,0.87489672950009,0.7096174384824778,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,13,0.8835229546569318,0.7009648424313327,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,14,0.8818581122022532,0.7224465299855273,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,15,0.8876972922069939,0.705500983621189,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,16,0.8720229618093789,0.6974488428842393,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,17,0.8521987797024012,0.7026037507164798,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,18,0.8933677535429155,0.7069340826348403,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,19,0.9079925349529824,0.7299872082275035,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,20,0.8573999495113092,0.708677379431866,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,21,0.8759973032583823,0.7110203694254589,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,22,0.8920818356278273,0.7264879774478397,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,23,0.8490102716823704,0.699220183054655,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,24,0.8910651926904519,0.7029615456997045,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,25,0.8728676971179418,0.713109113416199,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,26,0.8934828831128032,0.7414332613694952,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,27,0.8861107195871979,0.7210558472000786,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,28,0.8926988959800821,0.7215533807728973,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,29,0.9091324946751907,0.7419851286068557,ORIGINAL_AFFECTED
EMResearch__EvoMaster,20,30,0.8736128451073982,0.7072854440893965,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,1,0.8920960652156773,0.7174561458118268,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,2,0.8939816636277663,0.7259888522745788,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,3,0.9070284863503716,0.7371223271290198,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,4,0.8888675045495875,0.6988202116758965,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,5,0.8683887937182662,0.7360540836412256,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,6,0.8857249974193,0.7283722551037862,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,7,0.8744538215234924,0.7064098740988245,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,8,0.9020232378069608,0.738838837884464,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,9,0.882390112289776,0.7138958199007359,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,10,0.8755592591800254,0.6984245482800282,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,11,0.9185737175954722,0.7386544610929014,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,12,0.8812125917679245,0.7074588255898988,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,13,0.8797942509395945,0.6998394617294987,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,14,0.8831288020357246,0.7105516921585254,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,15,0.8822015655355597,0.7022917500385647,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,16,0.8695933319536858,0.6911353696745914,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,17,0.8703226695133531,0.7068383883098832,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,18,0.8888379302358519,0.7030581226316923,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,19,0.9068422066763526,0.7327844394021023,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,20,0.8549349742298402,0.7017753942106895,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,21,0.8883924037572609,0.718670644995231,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,22,0.8967996589689445,0.7252480442137722,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,23,0.8764148846232531,0.7078045835316582,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,24,0.8887803965655525,0.7023700212382739,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,25,0.8813970874375041,0.7198054865579677,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,26,0.8873179774718717,0.7333032205123752,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,27,0.8795783501838319,0.7167184619106693,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,28,0.8895382013049251,0.7187486768429897,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,29,0.9032551177982366,0.7299189862448647,ORIGINAL_AFFECTED
EMResearch__EvoMaster,25,30,0.8620936643309618,0.7028843254562983,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,1,0.9219682273930344,0.7367105547007397,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,2,0.898678367751893,0.7140579211439535,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,3,0.9038047507107184,0.7326703261341482,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,4,0.8958424797736917,0.7091982187906725,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,5,0.867259576180303,0.7309823837376025,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,6,0.8802395992171768,0.7216592722329952,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,7,0.8960985115039534,0.7244595516830805,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,8,0.9052317828241602,0.7407928331402693,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,9,0.8881673526689575,0.7155786551637158,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,10,0.8800556114475272,0.6954364492353137,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,11,0.9159415397221844,0.7365603312090934,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,12,0.8763948596207813,0.7064278660264164,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,13,0.8805863090324428,0.7035583133355058,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,14,0.8784589339024964,0.7096498235513232,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,15,0.8823549327777855,0.698233545776661,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,16,0.879444814315021,0.698207868125873,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,17,0.8674290203091203,0.7055502309111594,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,18,0.8918051495722945,0.7001339846019802,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,19,0.9030749044381666,0.7307228981078357,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,20,0.8809117994325921,0.708281602290769,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,21,0.8877383992544632,0.720341454837448,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,22,0.8915024021480349,0.7244675519116645,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,23,0.8683290844595842,0.7005089747404312,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,24,0.9015490268872148,0.7150623457653531,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,25,0.8788886989794603,0.7151416646023004,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,26,0.8854922884518829,0.7243182299218178,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,27,0.8739667200582862,0.712639850844847,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,28,0.892543502239193,0.7189738013899997,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,29,0.9108053710761908,0.728853429628136,ORIGINAL_AFFECTED
EMResearch__EvoMaster,30,30,0.8556250552954692,0.6994015160054438,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,1,0.918172170012156,0.7308749971332026,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,2,0.8935969977012991,0.7132767839918563,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,3,0.9020410471221116,0.730805031183361,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,4,0.8965697194666481,0.7072629420403157,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,5,0.8702060759852265,0.7357077227411817,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,6,0.907855798072215,0.7304916196349741,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,7,0.8916266930482875,0.7164659507265018,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,8,0.9111898353054312,0.7377059380015386,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,9,0.8985635587736076,0.7184065908343573,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,10,0.8794952710314722,0.694089882792914,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,11,0.9111456164287564,0.7362443875859186,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,12,0.8959850509608531,0.7213117002907145,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,13,0.8950122347291924,0.7122198511327691,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,14,0.8689243035845274,0.7010375106188776,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,15,0.8729567909298142,0.6956048700331381,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,16,0.8722637599333956,0.6902362665499611,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,17,0.8664771960238792,0.6970956746024,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,18,0.9045129672592732,0.7221985844743382,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,19,0.8922321846448231,0.7196978362497458,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,20,0.8772575945044468,0.7036839376492059,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,21,0.8844617184372606,0.7226284508529413,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,22,0.8883046645853615,0.7199985446745465,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,23,0.8607181157706199,0.6942621083427863,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,24,0.91050340354334,0.7194177025455202,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,25,0.8754272642747962,0.7045037246014884,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,26,0.8888545468445516,0.7218992428774822,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,27,0.8974608081916744,0.7183161372765516,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,28,0.8914964858585982,0.7169970439281252,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,29,0.921806529054844,0.7259717960335614,ORIGINAL_AFFECTED
EMResearch__EvoMaster,40,30,0.8532608512244643,0.6998675694460589,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,1,0.9115049353523608,0.722162932250578,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,2,0.8970821528882416,0.7120430877495495,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,3,0.8940589773721128,0.7138840972518885,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,4,0.902989892547012,0.706674955061722,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,5,0.8757727184362596,0.7312480312412722,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,6,0.9043342057696238,0.7263465362164158,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,7,0.8914955325734006,0.7116951878095603,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,8,0.9091474197774628,0.7376696163156533,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,9,0.8904879239443786,0.7104463407549289,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,10,0.8779702326928673,0.691349222261608,ORIGINAL_AFFECTED
EMResearch__EvoMaster,50,11,0.9048582349663344,0.7307492480356466,ORIGINAL_AFFECTED
