NoisePercent,Projects,OriginalMeanAPFDc,OriginalSDProjectsAPFDc,OriginalMeanAPFD,OriginalSDProjectsAPFD,CorrectedMeanAPFDc,CorrectedSDProjectsAPFDc,CorrectedMeanAPFD,CorrectedSDProjectsAPFD,APFDcDifference,APFDDifference
0,24,0.5752563867183165,0.2553549520335365,0.5093525520416093,0.3529344770790844,0.7695886480534057,0.15504987802577144,0.8582868096197968,0.11924033151523317,0.19433226133508918,0.3489342575781874
5,24,0.7833297006325459,0.12230140408691169,0.8336217175291739,0.10785828681111406,0.7699822237098215,0.13943984084749245,0.8256895039730936,0.12220602244411892,-0.013347476922724422,-0.007932213556080314
10,24,0.7834531433547426,0.12429559109526346,0.8339854005854072,0.1070632178742788,0.7705682943358892,0.13974578099948579,0.8246642845449138,0.12204894035087406,-0.01288484901885334,-0.009321116040493349
15,24,0.7833337855545555,0.1245558453413062,0.8337369971558569,0.107159204923871,0.7705029989779858,0.1396001150533943,0.8239964309545055,0.12207320426951314,-0.012830786576569664,-0.009740566201351442
20,24,0.782989163828884,0.12478293303585133,0.8340014236344951,0.10554973553253566,0.7702500756630603,0.13993979784003324,0.8242481771866439,0.12102914287148811,-0.012739088165823698,-0.00975324644785125
25,24,0.7830382137069636,0.1273672267892912,0.8350755055334299,0.10528162007403467,0.7702506226575226,0.14221123087515608,0.8252098427135633,0.12036077508187068,-0.012787591049440938,-0.00986566281986656
30,24,0.782262500204476,0.12864652338871135,0.8347889123144404,0.10523563132152956,0.7696837390545048,0.14281562569731832,0.8251161929940852,0.1197676303023945,-0.01257876114997114,-0.009672719320355183
40,24,0.7802538998889653,0.12907169754691064,0.8358601201576318,0.10036409962888651,0.7677785087969644,0.142758921055861,0.8262715391264561,0.11520972365068761,-0.01247539109200091,-0.009588581031175658
50,24,0.7797874862812777,0.1303160698723735,0.8359952233583486,0.10185452396773438,0.7673825215527165,0.14421481182499318,0.826499476141978,0.11654529510750272,-0.01240496472856123,-0.009495747216370587
